"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year55",55,68.0552045741987,2.38438490898254,50,6.16031699192626,0.215879979555345,50,1.92473374028221,0.548577923395401,50,-21.9588250935657,2.71259375533945,50,0.464404801835001,0.965396892872985,50,-22.355444304894,2.68739712420491,50
"year56",56,68.1144043513741,2.4261394494903,50,6.21056048630629,0.219022547851236,50,1.98041704247354,0.563913855540508,50,-22.1673755948134,2.65415263749098,50,0.341686873674755,0.775659927062259,50,-22.4583989676714,2.69577758583104,50
"year57",57,68.2742547776111,2.46761234166542,50,6.25953316560121,0.222169631158959,50,2.03599407014511,0.579197021708758,50,-22.39882334897,2.62719417399874,50,0.22636961219641,0.605970435474876,50,-22.590791459183,2.70949720073246,50
"year58",58,68.6264074983098,2.50918837709377,50,6.30744039740551,0.225456841933392,50,2.09142914150251,0.594409621833081,50,-22.6325639149872,2.6507762516517,50,0.145141763206142,0.458484816423897,50,-22.755239529967,2.73139302473523,50
"year59",59,68.8956025838036,2.5495143929538,50,6.35761685997111,0.228869375584997,50,2.1469253379745,0.60961790574239,50,-22.794721916736,2.67251076679143,50,0.131166522817873,0.424893645987254,50,-22.9055574176294,2.74925866151591,50
"year60",60,69.1762394090218,2.58824643488202,50,6.40812279839395,0.232290648714324,50,2.2025345326134,0.624850295143313,50,-22.9481544855231,2.69326337188216,50,0.119222781638571,0.391266403779738,50,-23.0488879000145,2.76626025956047,50
"year61",61,69.4221967854687,2.62551765727855,50,6.45864335483516,0.235676789664006,50,2.25830672007579,0.640123185846923,50,-23.0924345973052,2.71343553495215,50,0.107262891081318,0.358092076736838,50,-23.1830538901122,2.78214851627548,50
"year62",62,69.6484951578535,2.6614337993,50,6.50911212256535,0.239015465387434,50,2.31418966627238,0.655420672641103,50,-23.2289348013071,2.73311449936405,50,0.0952969771714118,0.325556815372672,50,-23.3094347224209,2.79702520372458,50
"year63",63,69.8614729334782,2.69519508831872,50,6.5596125536212,0.242126790395359,50,2.37047079955899,0.670831999181228,50,-23.3525478609829,2.73955895804804,50,0.08502895662345,0.293135533347113,50,-23.4243718269411,2.79908118081757,50
"year64",64,70.0653825332252,2.72420870546961,50,6.61364521782538,0.244676129471466,50,2.42729547520798,0.686440678792709,50,-23.4389652665739,2.69892258346772,50,0.0837225023784453,0.288685310571598,50,-23.5097222559868,2.75845259049465,50
"year65",65,70.2597921881266,2.75081448984292,50,6.6700362299415,0.247182088930891,50,2.4843144072557,0.702106727640197,50,-23.5174246146276,2.65911955015777,50,0.0844269697989381,0.291061413748913,50,-23.5888702435488,2.71746433224814,50
"year66",66,70.4462253249035,2.77575947627917,50,6.72811579437798,0.249652392396606,50,2.54141977122995,0.717745133336174,50,-23.5775623139348,2.59855299172135,50,0.0851314549597032,0.293439931055639,50,-23.6496966617736,2.65624001632079,50
"year67",67,70.5960838098624,2.79934832568888,50,6.78766669268259,0.252080842788493,50,2.5985067404223,0.733318131444862,50,-23.6208956292288,2.52840163327453,50,0.0858301305056528,0.295800827851265,50,-23.6937153765956,2.58568924711617,50
"year68",68,70.7198154602912,2.82127572432308,50,6.84882511316278,0.25429806223235,50,2.65564190153399,0.748834625396855,50,-23.6333850986927,2.44403126486366,50,0.0864805453726035,0.297990670298228,50,-23.7068880987764,2.50020977756559,50
"year69",69,70.8837804917419,2.83919581322811,50,6.90946192176224,0.255989055703445,50,2.71292579587504,0.764419798166582,50,-23.6188390514266,2.35253395648151,50,0.0833391029305898,0.28731935019391,50,-23.6898776306662,2.403568247598,50
"year70",70,71.0235196450745,2.85334735431863,50,6.968725628616,0.257220532913453,50,2.77028519564654,0.780063684351243,50,-23.601602590753,2.27155138102283,50,0.0775682806078908,0.267723978893885,50,-23.6678889042104,2.31701359968139,50
"year71",71,71.1288600813588,2.86423797671549,50,7.02794014020652,0.25807966688054,50,2.82780756212692,0.795795906985818,50,-23.5550540893777,2.18092732493502,50,0.0718212594367503,0.248232363829197,50,-23.616584071667,2.22161197001588,50
"year72",72,71.2342710354109,2.87217109373908,50,7.08747539400581,0.258684507201774,50,2.88539360448405,0.811579282265196,50,-23.4828953838991,2.07893386737346,50,0.0661048797072351,0.228873372961901,50,-23.5396698346818,2.11561365276564,50
"year73",73,71.0054499095024,2.87770044427668,50,7.14769461079918,0.258919406140617,50,2.94297709063338,0.827500816006003,50,-23.3326012256142,1.96123286406412,50,0.0603756230013431,0.209505312740273,50,-23.3845900799336,1.99498368455621,50
"year74",74,71.1437740315265,2.87366682989,50,7.21544073543687,0.258770859166122,50,3.00108397148334,0.843572429369043,50,-23.0711927362956,1.76293038824528,50,0.0533367885293308,0.185737378136942,50,-23.117355216082,1.79129160684253,50
